,date,id,content,username
24,2023-02-12 18:08:01,1624832712887369730,"Super Bowl weekend! Check out this ex Philadelphia Eagles player and winner of the Super Bowl in 2017's house, that is automated by Loxone. Click here: https://t.co/JozyRmZoV1 

#Loxone #buildingautomation #homeautomation #superbowl #philadelphiaeagles 

*Photos by Alcove Media https://t.co/tKGp1TduwF",LoxoneUK
25,2023-02-12 17:51:04,1624828448970506240,"Superbowl Giveaway:  Pick the winner of the Superbowl [KC Chiefs or Philadelphia Eagles] and how many points they win by [1 to ?] and win prize shown.

Must enter by 530pm central, if more than one winner, the Wheel of Name will choose!

Put guesses below to enter, go team! https://t.co/3CtZbV5wyT",Kwentzhunter
26,2023-02-12 17:30:00,1624823146380693504,"The conclusion of the 2022 NFL regular season is hours away with Super Bowl 57 crowning a champion between the Kansas City Chiefs and Philadelphia Eagles.

@usatodaysports writers and columnists predict the winner:
https://t.co/RhnQjIjCHO",USATODAY
27,2023-02-12 17:27:48,1624822590706524165,"@KariLakeWarRoom @KariLake Two winners in Arizona. 
The Philadelphia Eagles
Katie Hobbs",ReillyOToole1
28,2023-02-12 17:24:09,1624821673974456320,"Super Bowl 2023: February 12, 2023 - Pick your winner between Philadelphia Eagles or Kansas City.

#NFL #SuperBowl #PhiladelphiaEagles #KansasCity",TheMediaFunnels
29,2023-02-12 17:00:00,1624815597237460992,"There’s more than one ‘super’ bowl in town...
Don’t fumble your feeding times. Feel like a winner with the MiBowl® Automatic Microchip Pet Feeder 🐱🐶
Will you be supporting the Philadelphia Eagles or the Kansas City Chiefs? 🏈

🛍: https://t.co/SDEWJHMWVS https://t.co/PmUZapN7d7",WeAreCloserPets
30,2023-02-12 16:26:14,1624807100823093248,Super Bowl 2023 Super Bowl 2023 | USA TODAY Sports writers and columnists predict the winner of Super Bowl 57 between the Kansas City Chiefs and Philadelphia Eagles. #Super #Bowl #2023 #SuperBowl2023  | Read More  https://t.co/jx7rOoPLRh,YahBuzz_com
31,2023-02-12 15:55:58,1624799480049717248,"@MEXC_NA #PhiladelphiaEagles 27 
#KansasCityChiefs 24

Philadelphia Eagles will be Winner. 

#SuperBowl #MEXC #Merch",farhanayasmin0
32,2023-02-12 15:16:27,1624789539050119168,"Winner: Philadelphia Eagles 
Score: EAGLES 38-Chiefs: 24 
SB MVP: Jalen Hurts",gabe_c42
33,2023-02-12 15:00:00,1624785398915534849,"🟢THE LAST EVOLUTION🔴
https://t.co/CQpqhwstmF
Two AFC and NFC winners. Mahomes vs. Hurts. Yes, it is The Philadelphia Eagles vs. Kansas City Chiefs match in Super Bowl LVII!

 🦅@Eagles vs. @Chiefs🐺
           [1.84]             [2.10]

#sports #Americanfootball #SuperBowl #NFL https://t.co/bAPA2Vkywy",BetFury_Sport
